	NA		Sp_ds	Sp_hs	Sp_log	Sp_plat	
c1294_g1_i1	P36629	GO:0045292	34.23	201.01	73.79	22.19	mRNA cis splicing, via spliceosome

c2785_g1_i2	Q9P371	GO:0046872	0.00	24.93	3.36	22.39	metal ion binding

c4201_g2_i2	O94622	GO:0042125	29.56	42.17	16.35	1.59	protein galactosylation

c6252_g1_i1	P18172	GO:0055114	0.00	0.00	0.00	92.68	oxidation-reduction process

c4181_g1_i1	Q9Y7N4	GO:1902114	17.97	31.12	6.21	75.03	D-valine metabolic process

c3912_g1_i1	P87139	GO:0046872	80.73	10.91	14.25	323.36	metal ion binding

c4848_g1_i1	Q9HDX6	GO:0032446	10.51	0.00	66.77	196.30	protein modification by small protein conjugation

c4641_g1_i2	O13749	GO:0046872	91.68	112.74	26.71	242.62	metal ion binding

c5953_g1_i1	Q9Y7X7	GO:0016192	0.69	0.00	45.20	0.00	vesicle-mediated transport

c4535_g1_i1	O59826	GO:0055085	202.96	34.77	18.59	198.37	transmembrane transport

c4351_g1_i1	NA	GO:0055085	18.42	14.81	7.92	150.57	transmembrane transport

c2956_g1_i1	O13917	GO:0052657	34.44	113.61	204.04	23.10	guanine phosphoribosyltransferase activity

c5922_g1_i1	O59852	GO:0034484	1984.15	18.95	13.24	1115.88	raffinose catabolic process

c648_g1_i1	Q9P779	GO:0035091	32.36	24.46	3.61	52.05	phosphatidylinositol binding

c5036_g1_i1	NA	GO:0035091	2245.52	710.44	239.09	6969.63	phosphatidylinositol binding

c760_g1_i1	Q9UUD6	GO:0036459	49.97	15.12	23.42	141.24	ubiquitinyl hydrolase activity

c4428_g1_i1	Q9P7D9	GO:0072686	22.37	23.87	3.83	87.99	mitotic spindle

c4712_g1_i2	NA	GO:0072686	3.81	3.56	1.19	58.51	mitotic spindle

c147_g1_i1	O60077	GO:0044732	85.26	104.46	10.42	163.48	mitotic spindle pole body

c2389_g1_i2	Q96TL7	GO:1901581	0.00	48.22	7.23	0.00	negative regulation of telomeric RNA transcription from RNA pol II promoter

c6086_g1_i1	O74992	GO:0016021	106.06	227.29	4.84	1075.51	integral component of membrane

c362_g1_i1	Q9P6Q5	GO:0046872	28.34	72.28	131.23	7.24	metal ion binding

c199_g1_i1	O74412	GO:1902467	19.10	4.41	6.86	65.85	regulation of mitotic cytokinetic cell separation

c6403_g1_i1	Q8NKC1	GO:0046872	44.68	17.15	11.20	127.63	metal ion binding

c4746_g1_i2	Q09740	GO:0045229	0.00	0.00	0.00	12.61	external encapsulating structure organization

c2389_g1_i1	Q96TL7	GO:1901581	14.77	0.00	0.00	18.12	negative regulation of telomeric RNA transcription from RNA pol II promoter

c1244_g1_i1	O13709	GO:0008150	60.78	40.10	12.27	125.69	biological_process

c4259_g1_i1	O59746	GO:0046872	49.75	11.85	41.20	136.87	metal ion binding

c822_g1_i1	Q01682	GO:0036225	15.82	32.99	82.86	6.59	pairing center

c1375_g1_i1	O13938	GO:0016021	20.09	11.78	2.52	58.16	integral component of membrane

c4754_g2_i1	NA	GO:0016021	119.05	0.00	0.00	5.29	integral component of membrane

c4627_g1_i1	O94322	GO:0055114	1068.61	473.17	13.28	723.15	oxidation-reduction process

c4839_g1_i1	O94641	GO:0051087	589.36	4900.68	69.15	294.21	chaperone binding

c3892_g1_i2	O43066	GO:0030479	10.28	0.02	7.46	59.67	actin cortical patch

c5021_g1_i1	NA	GO:0030479	5.16	74.06	0.00	12.65	actin cortical patch

c5214_g1_i1	Q10232	GO:0030529	704.08	2250.47	1783.96	283.16	ribonucleoprotein complex

c4929_g1_i1	O74887	GO:0055114	2052.39	12732.46	1417.39	1760.01	oxidation-reduction process

c5122_g1_i1	O14400	GO:0055114	1060.50	111.38	22.18	59.78	oxidation-reduction process

c4603_g1_i2	Q5UQ88	GO:0042262	90.90	510.34	780.58	65.62	DNA protection

c6166_g1_i1	NA	GO:0042262	813.05	287.41	12.72	5752.11	DNA protection

c4618_g2_i1	O14469	GO:0030529	176.37	418.99	703.48	26.43	ribonucleoprotein complex

c4858_g1_i1	O94632	GO:0051321	123.36	8.53	12.68	64.69	meiotic cell cycle

c6097_g1_i1	O74442	GO:0036459	0.00	18.35	25.69	44.36	ubiquitinyl hydrolase activity

c6016_g1_i1	NA	GO:0036459	1362.26	3992.17	3521.94	450.13	ubiquitinyl hydrolase activity

c4446_g1_i1	G2TRT0	GO:0043547	19.45	65.48	0.00	29.99	positive regulation of GTPase activity

c4725_g2_i1	Q9P5N2	GO:0055085	11.66	49.71	88.76	1.67	transmembrane transport

c4228_g1_i2	Q9HDZ2	GO:0071852	8.83	0.00	0.00	14.45	fungal-type cell wall organization or biogenesis

c6218_g1_i1	P40373	GO:0016757	53.71	176.74	379.47	37.12	transferase activity, transferring glycosyl groups

c1546_g1_i2	Q9Y7N9	GO:0035091	4.00	0.00	0.00	25.67	phosphatidylinositol binding

c2018_g1_i2	NA	GO:0035091	18.39	19.74	0.00	61.54	phosphatidylinositol binding

c1348_g1_i2	O60119	GO:0051685	20.96	56.32	3.52	157.71	maintenance of ER location

c1759_g1_i1	O94300	GO:0055085	17.05	29.72	159.65	14.11	transmembrane transport

c4743_g1_i2	NA	GO:0055085	181.31	158.03	0.00	24.00	transmembrane transport

c3677_g1_i1	O13692	GO:0071852	55.90	101.96	212.61	20.67	fungal-type cell wall organization or biogenesis

c4697_g1_i4	O94664	GO:0051321	15.72	19.48	0.50	0.00	meiotic cell cycle

c5830_g1_i1	O74402	GO:0051082	169.69	2077.10	67.61	94.50	unfolded protein binding

c3934_g2_i1	P40376	GO:0075297	279.73	203.58	22.52	115.09	negative regulation of ascospore formation

c5869_g1_i1	Q9P7G9	GO:0070814	59.88	319.01	292.74	10.88	hydrogen sulfide biosynthetic process

c5229_g1_i1	NA	GO:0070814	517.33	2381.85	24.39	330.96	hydrogen sulfide biosynthetic process

c5498_g1_i1	Q09819	GO:0046872	0.00	184.64	13.36	0.00	metal ion binding

c4926_g1_i1	Q9HFF2	GO:0046872	1.90	49.35	48.48	9.32	metal ion binding

c5428_g1_i1	NA	GO:0046872	8.03	0.00	0.00	55.37	metal ion binding

c2213_g1_i1	Q9Y7P3	GO:0019433	21.88	0.00	58.45	25.34	triglyceride catabolic process

c2093_g1_i1	O14137	GO:0055114	435.49	60.25	14.55	304.82	oxidation-reduction process

c1530_g1_i1	Q10107	GO:0070475	11.87	62.06	156.51	14.73	rRNA base methylation

c5064_g1_i1	Q9URY9	GO:0043169	103.60	0.00	0.00	254.38	cation binding

c3249_g1_i1	O74876	GO:0051321	18.80	120.05	10.15	5.91	meiotic cell cycle

c6049_g1_i1	Q10494	GO:0055114	1358.85	5111.14	190.36	836.13	oxidation-reduction process

c3557_g1_i1	Q9UU76	GO:2000766	27.12	78.66	171.50	19.94	negative regulation of cytoplasmic translation

c1666_g1_i1	Q09923	GO:0050235	126.73	75.99	45.13	358.61	pyrazolylalanine synthase activity

c3957_g1_i1	P32747	GO:0055114	37.62	194.40	371.71	51.64	oxidation-reduction process

c3065_g1_i1	O42890	GO:0008131	103.18	9.70	10.91	424.96	primary amine oxidase activity

c5215_g1_i1	O94392	GO:0046872	105.03	12.04	29.51	393.28	metal ion binding

c974_g1_i1	NA	GO:0046872	24.18	70.33	2.43	117.77	metal ion binding

c2739_g1_i1	O13867	GO:0044206	4.29	7.73	1.38	96.26	UMP salvage

c5094_g1_i1	NA	GO:0044206	32.05	33.16	6.62	87.64	UMP salvage

c1431_g1_i1	Q10488	GO:0055114	346.33	670.85	21.30	249.89	oxidation-reduction process

c3978_g1_i4	P24782	GO:0042254	0.00	0.00	201.67	20.00	ribosome biogenesis

c4705_g1_i1	O59794	GO:0030529	278.69	858.80	1438.71	85.03	ribonucleoprotein complex

c3086_g3_i1	NA	GO:0030529	43.47	13.91	23.78	185.77	ribonucleoprotein complex

c2785_g1_i1	Q9P371	GO:0046872	38.43	0.00	10.22	61.93	metal ion binding

c5079_g1_i1	Q9HDU2	GO:0046835	404.14	79.26	36.55	62.06	carbohydrate phosphorylation

c2031_g1_i2	O13944	GO:0043234	0.00	18.90	0.00	0.00	protein complex

c6230_g1_i1	Q9USM2	GO:0008150	594.98	162.52	14.72	642.97	biological_process

c3880_g1_i1	O14201	GO:0051321	506.15	5.83	17.38	309.02	meiotic cell cycle

c4999_g1_i1	Q10242	GO:0046316	826.93	118.63	68.55	573.41	gluconokinase activity

c1387_g1_i2	O43070	GO:0044773	14.67	10.61	0.00	31.85	mitotic DNA damage checkpoint

c1213_g1_i1	O13693	GO:0008150	136.64	72.76	12.22	158.86	biological_process

c1476_g1_i1	O94570	GO:0080130	16.72	6.49	12.15	90.75	proteasome core complex assembly

c3768_g2_i1	O42848	GO:0030529	1201.93	2859.50	3057.57	344.35	ribonucleoprotein complex

c6290_g1_i1	P87133	GO:0051321	284.65	442.05	15.47	348.17	meiotic cell cycle

c1172_g1_i1	O94681	GO:0045252	384.76	133.81	106.52	826.08	oxoglutarate dehydrogenase complex

c4745_g8_i1	NA	GO:0045252	15.54	110.42	5.20	7.56	oxoglutarate dehydrogenase complex

c4671_g1_i1	Q9C105	GO:1902409	5.22	18.25	73.44	0.00	mitotic cytokinetic cell separation

c2617_g1_i1	Q9C0Q1	GO:0055085	63.18	360.00	258.57	29.70	transmembrane transport

c6402_g1_i1	O13896	GO:0046872	11.63	30.40	116.67	8.49	metal ion binding

c4782_g1_i1	P78890	GO:0008150	7084.80	1881.79	28.52	2506.47	biological_process

c3496_g2_i1	O42699	GO:0030529	456.08	1302.34	1251.75	100.40	ribonucleoprotein complex

c3267_g1_i1	NA	GO:0030529	47.61	8.38	1.99	281.76	ribonucleoprotein complex

c4650_g1_i2	O14150	GO:0042254	833.21	2169.42	2399.21	176.64	ribosome biogenesis

c3386_g1_i1	Q9P3W2	GO:0043234	4.31	91.05	4.33	7.35	protein complex

c2061_g1_i1	O94340	GO:0016746	12.81	222.28	8.56	25.30	transferase activity, transferring acyl groups

c4433_g1_i1	P87293	GO:0051286	57.43	45.55	10.50	93.05	cell tip

c5909_g1_i1	Q09686	GO:0016740	485.06	172.61	23.60	1359.74	transferase activity

c2031_g1_i1	O13944	GO:0043234	52.26	8.62	57.49	128.51	protein complex

c1686_g1_i1	O74867	GO:0044183	60.94	13.66	27.59	157.61	protein binding involved in protein folding

c2528_g1_i1	Q9UU78	GO:0030529	343.51	1109.67	1246.38	127.21	ribonucleoprotein complex

c5988_g1_i1	O36032	GO:0034605	1354.49	2192.25	229.02	1018.28	cellular response to heat

c729_g1_i1	Q09679	GO:0042125	22.29	5.02	0.00	63.78	protein galactosylation

c5349_g1_i1	P78946	GO:0030529	1539.59	6177.03	4900.92	458.94	ribonucleoprotein complex

c3847_g1_i1	NA	GO:0030529	7.19	128.87	5.73	2.90	ribonucleoprotein complex

c4428_g1_i2	Q9P7D9	GO:0072686	105.98	3.95	0.00	60.59	mitotic spindle

c3044_g1_i1	P55306	GO:0055114	1594.30	1213.81	26.20	602.80	oxidation-reduction process

c2300_g1_i1	Q09910	GO:0046872	63.95	30.41	90.58	369.11	metal ion binding

c988_g1_i1	Q9UQY9	GO:0051321	15.70	57.83	36.59	1.89	meiotic cell cycle

c5773_g1_i1	Q10281	GO:2000766	1622.27	4479.84	4113.06	539.82	negative regulation of cytoplasmic translation

c4302_g1_i1	Q9Y6Z9	GO:0055114	20.58	26.41	387.37	4.95	oxidation-reduction process

c4733_g1_i2	NA	GO:0055114	0.00	140.80	0.00	0.00	oxidation-reduction process

c241_g1_i2	NA	GO:0055114	9.79	0.01	7.84	37.08	oxidation-reduction process

c4743_g1_i1	NA	GO:0055114	680.35	1067.14	114.89	171.88	oxidation-reduction process

c4935_g1_i1	O74312	GO:0034045	7.23	101.52	0.00	0.00	pre-autophagosomal structure membrane

c4640_g1_i1	Q9P7H9	GO:0046872	61.42	14.21	34.18	131.98	metal ion binding

c1324_g2_i1	O74383	GO:0016021	98.11	11.51	3.28	583.13	integral component of membrane

c4340_g3_i2	O14123	GO:1902600	39.43	105.35	8.79	22.21	hydrogen ion transmembrane transport

c4443_g2_i1	Q1MTS0	GO:0032040	11.91	35.82	122.23	26.01	small-subunit processome

c2091_g1_i1	Q9Y815	GO:0046872	157.05	267.76	14.09	178.31	metal ion binding

c951_g1_i1	Q9P775	GO:0043234	13.02	84.74	152.89	22.73	protein complex

c4488_g1_i2	P36582	GO:0090334	34.12	243.83	22.93	24.71	regulation of stomatal closure

c6073_g1_i1	O59827	GO:0042493	315.62	48.50	25.14	207.27	response to drug

c6253_g1_i1	P40903	GO:0090475	670.42	221.22	56.72	612.59	lys-lys specific dibasic protein processing

c4225_g2_i1	Q9UT79	GO:0055114	0.00	33.81	0.00	22.50	oxidation-reduction process

c1117_g1_i1	Q09919	GO:0055072	8.07	11.36	519.13	5.30	iron ion homeostasis

c5818_g1_i1	O60057	GO:0051321	451.53	252.40	15.40	407.44	meiotic cell cycle

c4744_g3_i1	Q9HFE8	GO:1900475	1.12	61.61	0.00	1.15	positive regulation of meiosis by negative regulation of transcription from RNA polymerase II promoter

c6310_g1_i1	O94592	GO:0016021	79.39	12.81	26.83	290.35	integral component of membrane

c2969_g1_i1	Q10361	GO:0055114	28.63	0.00	30.24	80.76	oxidation-reduction process

c5847_g1_i1	Q9P7U2	GO:0055114	448.94	640.16	169.88	40.81	oxidation-reduction process

c4565_g1_i1	O14345	GO:0090002	84.90	57.62	20.53	172.89	establishment of protein localization to plasma membrane

c6378_g1_i1	Q9UTI9	GO:0016021	807.31	34.61	15.82	1449.08	integral component of membrane

c3578_g1_i1	Q7LKX0	GO:0030176	148.52	52.57	96.60	501.69	integral component of endoplasmic reticulum membrane

c2987_g1_i1	P53693	GO:0008150	5339.15	3244.36	227.27	3238.78	biological_process

c361_g1_i1	Q9UTE6	GO:0042254	13.26	56.01	143.03	14.68	ribosome biogenesis

c1717_g1_i1	NA	GO:0042254	4.63	9.56	0.00	49.76	ribosome biogenesis

c4913_g1_i1	NA	GO:0042254	816.41	3451.39	1395.82	366.56	ribosome biogenesis

c3570_g1_i1	Q9UTE7	GO:0032543	20.34	0.00	15.16	3.76	mitochondrial translation

c4686_g1_i1	O74899	GO:1903092	6.49	2.33	10.07	213.78	pyridoxine transmembrane transport

c4940_g1_i1	O14015	GO:0051321	586.89	18.27	7.15	1479.83	meiotic cell cycle

c6213_g1_i1	O74752	GO:1900035	101.49	1484.17	384.86	21.08	negative regulation of cellular response to heat

c6596_g1_i1	O14143	NA	75.53	31.66	0.00	625.60	negative regulation of cellular response to heat

c3606_g1_i3	O94611	GO:0051321	15.65	44.06	0.00	18.32	meiotic cell cycle

c1043_g1_i1	Q9P7F4	GO:0055114	244.58	326.16	14.91	125.65	oxidation-reduction process

c5962_g1_i1	O14388	GO:0030529	1080.59	2998.67	3045.40	228.74	ribonucleoprotein complex

c4681_g1_i2	O13339	GO:0046872	17.42	0.00	11.55	16.31	metal ion binding

c1100_g1_i2	O94515	GO:0051082	0.00	0.00	0.00	35.87	unfolded protein binding

c2937_g2_i1	NA	GO:0051082	7.42	26.84	5.31	122.35	unfolded protein binding

c5816_g1_i1	O14368	GO:0061077	6533.07	16789.56	100.46	19091.05	chaperone-mediated protein folding

c3739_g2_i1	O94396	GO:0046872	3.58	17.61	72.63	8.22	metal ion binding

c4745_g1_i1	O59698	GO:1902047	7.25	1.46	63.39	20.11	polyamine transmembrane transport

c1216_g1_i1	O14081	GO:0016757	504.65	1014.83	105.51	195.16	transferase activity, transferring glycosyl groups

c4670_g1_i1	Q9URY5	GO:0070458	21.08	28.57	0.00	6.06	cellular detoxification of nitrogen compound

c4865_g1_i1	O94298	GO:0055114	113.98	63.41	108.45	515.14	oxidation-reduction process

c3987_g1_i1	G2TRR9	GO:0008150	9.48	0.00	1.66	210.69	biological_process

c6448_g1_i1	O14088	GO:0055114	297.36	1151.15	8.80	114.86	oxidation-reduction process

c3112_g1_i3	O14059	GO:0016787	2.26	0.00	0.00	15.87	hydrolase activity

c4384_g1_i1	P32586	GO:1990264	170.12	192.72	5.49	55.97	peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity

c4474_g1_i1	Q9URW3	GO:0008270	67.70	15.09	4.71	237.69	zinc ion binding

c1718_g1_i1	Q10202	GO:0042254	8.62	34.88	252.35	19.82	ribosome biogenesis

c2142_g1_i1	Q9USZ7	GO:0030479	0.00	16.35	5.17	27.79	actin cortical patch

c4048_g1_i1	O13801	GO:0046872	18.61	26.82	133.78	15.40	metal ion binding

c4716_g2_i3	Q10265	GO:0051082	1493.30	6656.33	22.73	525.74	unfolded protein binding

c5275_g1_i1	P17610	GO:0071852	5.04	0.00	0.00	143.70	fungal-type cell wall organization or biogenesis

c3817_g1_i1	O74775	GO:0046872	121.84	138.16	35.03	409.98	metal ion binding

c4419_g1_i2	Q9UT29	GO:0051321	71.83	0.00	53.68	67.31	meiotic cell cycle

c1182_g1_i1	Q09817	GO:0015031	9.64	51.58	107.70	19.05	protein transport

c4851_g1_i1	O13702	GO:0055114	2740.62	301.18	16.77	1178.36	oxidation-reduction process

c923_g1_i1	Q09799	GO:0044732	6.89	48.52	93.63	12.46	mitotic spindle pole body

c4753_g2_i1	O42885	GO:0055085	17.66	6.48	250.23	57.65	transmembrane transport

c3180_g1_i1	Q9URX4	GO:0090599	10.13	43.56	2.26	10.93	NA
c1131_g1_i1	Q10108	GO:0051321	144.69	162.91	44.37	370.06	meiotic cell cycle

c4752_g1_i2	O74306	GO:0042254	592.32	1584.65	1847.99	172.91	ribosome biogenesis

c409_g1_i1	O74876	GO:0051321	0.00	172.63	2.49	0.00	meiotic cell cycle

c4741_g1_i1	Q9P7T9	GO:0055085	27.23	0.00	12.87	13.85	transmembrane transport

c5501_g1_i1	O60103	GO:0061630	0.00	120.50	0.00	0.00	ubiquitin protein ligase activity

c4395_g1_i1	O74333	GO:0090002	64.32	38.62	0.00	17.46	establishment of protein localization to plasma membrane

c4425_g1_i4	P79081	GO:0016746	87.63	232.67	101.82	18.53	transferase activity, transferring acyl groups

c824_g1_i1	Q9P380	GO:0071916	121.42	17.29	274.54	35.86	dipeptide transmembrane transporter activity

c2827_g1_i1	O42873	GO:0046872	220.63	11.07	5.10	579.46	metal ion binding

c4649_g1_i1	Q9HDY5	GO:0008150	23.62	551.53	19.99	26.39	biological_process

c2721_g4_i1	P87229	GO:0043234	16.32	18.00	1.09	41.29	protein complex

c3073_g1_i1	O74780	GO:0008150	44.50	1.23	12.25	79.36	biological_process

c4392_g1_i1	Q09918	GO:0008150	13.28	3.11	3.33	73.50	biological_process

c4477_g1_i2	Q9Y819	GO:0016021	0.00	0.00	0.00	15.28	integral component of membrane

c1844_g1_i1	Q8TGM7	GO:0008150	1172.28	4467.16	497.72	3369.76	biological_process

c4741_g1_i2	Q9P7T9	GO:0055085	6.52	2.18	0.00	366.75	transmembrane transport

c5066_g1_i1	P36604	GO:0051084	350.67	1862.20	606.22	64.62	'de novo' posttranslational protein folding

c1223_g1_i1	Q10092	GO:0016787	60.59	759.90	64.03	18.80	hydrolase activity

c466_g1_i1	Q9P7G0	GO:0042254	11.30	24.52	122.79	17.80	ribosome biogenesis

c4491_g1_i1	NA	GO:0042254	249.96	1037.83	654.60	56.87	ribosome biogenesis

c6376_g1_i1	O14082	GO:0055114	470.80	194.48	20.78	0.00	oxidation-reduction process

c4453_g1_i1	O59868	GO:0071421	0.03	41.36	5.00	22.21	manganese ion transmembrane transport

c4515_g3_i2	O94421	GO:1900400	0.00	5.95	4.26	23.07	regulation of iron ion import by regulation of transcription from RNA polymerase II promoter

c3910_g4_i1	Q9P768	GO:0055085	158.39	7.64	25.17	379.50	transmembrane transport

c3928_g2_i1	O13791	GO:0034605	214.07	1685.05	82.76	154.48	cellular response to heat

c4605_g1_i1	NA	GO:0034605	1459.10	6902.64	404.54	4290.48	cellular response to heat

c3054_g1_i1	Q92341	GO:0055085	0.00	3.52	82.79	2.56	transmembrane transport

c447_g1_i1	Q09816	GO:0019509	42.47	151.26	236.46	22.14	L-methionine biosynthetic process from methylthioadenosine

c2355_g1_i1	Q9URU9	GO:0045721	44.16	29.83	7.97	91.15	negative regulation of gluconeogenesis

c3757_g1_i1	O14091	GO:0055054	125.12	271.18	24.34	66.53	fructose:proton symporter activity

c3768_g1_i1	O42991	GO:0030529	360.47	928.51	995.32	115.37	ribonucleoprotein complex

c1235_g1_i1	O13844	GO:0055085	6.56	73.88	125.05	15.64	transmembrane transport

c8_g1_i1	C6Y4D4	GO:0008150	61.02	12.27	23.32	996.96	biological_process

c4760_g1_i1	O59824	GO:0046872	43.11	8.26	0.00	11.02	metal ion binding

c1157_g1_i1	O42634	GO:0051321	40.70	199.01	22.14	14.10	meiotic cell cycle

c870_g1_i1	Q9C1X5	GO:0055114	195.91	78.41	23.33	191.43	oxidation-reduction process

c2544_g1_i1	O14014	GO:0051286	57.57	5.94	6.16	77.26	cell tip

c6270_g1_i1	Q9USX0	GO:0071555	0.00	0.00	0.00	48.36	cell wall organization

c1214_g1_i1	O14017	GO:0045046	10.57	13.27	23.91	0.00	protein import into peroxisome membrane

c5093_g1_i1	Q9P6J3	GO:0046379	92.91	13.06	9.43	82.06	extracellular polysaccharide metabolic process

c3920_g1_i1	O42973	GO:0043234	51.84	139.70	8.88	112.41	protein complex

c6237_g1_i1	O14463	GO:1990355	987.51	5190.95	806.88	250.29	L-methionine biosynthetic process from methionine sulphoxide

c4807_g1_i1	O74770	GO:0016832	500.48	328.06	14.52	39.79	aldehyde-lyase activity

c4412_g1_i1	P41390	GO:0046872	14.03	9.94	0.00	37.59	metal ion binding

c6209_g1_i1	Q9URZ0	GO:0052692	33.35	4.17	0.74	68.17	raffinose alpha-galactosidase activity

c267_g1_i1	Q9UTK0	GO:0090502	7.71	46.65	95.87	14.18	RNA phosphodiester bond hydrolysis, endonucleolytic

c4430_g2_i1	Q92354	GO:0030529	395.39	941.17	1593.85	40.78	ribonucleoprotein complex

c4676_g2_i2	O74521	GO:0035091	45.32	36.92	5.09	137.62	phosphatidylinositol binding

c6222_g1_i1	O13741	GO:0042254	9.32	106.78	116.82	11.56	ribosome biogenesis

c6061_g1_i1	O42914	GO:0051880	1059.64	1567.39	2337.59	192.46	G-quadruplex DNA binding

c3149_g1_i1	Q92383	GO:0052822	18.41	30.49	3.26	57.56	very long chain acyl-CoA hydrolase activity

c4502_g1_i2	O14112	GO:0030529	412.56	1232.47	1761.92	168.36	ribonucleoprotein complex

c1965_g1_i1	P87115	GO:0070317	11.49	46.21	109.92	9.65	nucleosomal methylation activator complex

c1859_g1_i1	Q96WU9	GO:0008150	489.05	128.59	5.00	838.69	biological_process

c2253_g1_i1	Q9UUI7	GO:0016757	546.50	456.85	14.98	126.57	transferase activity, transferring glycosyl groups

c5059_g1_i1	NA	GO:0016757	430.65	1062.94	38.68	591.12	transferase activity, transferring glycosyl groups

c3421_g1_i1	Q7Z995	GO:0008150	33.78	14.07	0.00	71.48	biological_process

c948_g1_i1	O14034	GO:0051907	46.92	24.01	10.69	658.08	S-(hydroxymethyl)glutathione synthase activity

c2153_g1_i1	O43012	GO:0046872	0.00	18.87	22.68	0.00	metal ion binding

c6134_g1_i1	Q9HDX3	GO:0016787	168.07	3.38	2.41	2637.38	hydrolase activity

c4730_g1_i3	Q9P4W9	GO:0030529	481.31	862.76	1497.02	130.68	ribonucleoprotein complex

c4501_g1_i1	O60144	GO:0042254	814.52	2415.67	2300.68	250.33	ribosome biogenesis

c5242_g1_i1	Q10211	GO:0044264	291.43	117.69	2.88	274.33	cellular polysaccharide metabolic process

c4586_g1_i1	O94338	GO:0046872	144.94	34.59	18.11	270.59	metal ion binding

c5219_g1_i1	Q9UTM8	GO:0055114	1393.40	44.17	8.04	130.41	oxidation-reduction process

c2442_g1_i2	O94695	GO:0071917	0.03	43.16	0.00	0.00	triose-phosphate transmembrane transporter activity

c5072_g1_i1	O74766	GO:0055114	101.86	472.24	833.38	56.12	oxidation-reduction process

c2245_g1_i1	Q10342	GO:0042273	6.85	21.56	57.83	4.53	ribosomal large subunit biogenesis

c3172_g2_i1	Q9UT56	GO:0042254	227.31	1054.67	1278.23	38.96	ribosome biogenesis

c5195_g1_i1	Q09676	GO:0016787	31.08	56.87	630.78	131.27	hydrolase activity

c5878_g1_i1	NA	GO:0016787	589.04	23.19	2.07	917.58	hydrolase activity

c6537_g1_i1	O74382	GO:0046872	2.18	0.00	7.84	50.53	metal ion binding

c6208_g1_i1	Q09741	GO:0016740	194.41	683.76	773.81	54.45	transferase activity

c4225_g2_i2	Q9UT79	GO:0055114	24.92	0.00	16.32	0.00	oxidation-reduction process

c4702_g1_i3	O14277	GO:0042254	460.83	1064.27	1722.05	230.43	ribosome biogenesis

c6496_g1_i1	Q8WZK4	GO:0045116	8.32	103.13	0.19	3.67	protein neddylation

c4518_g1_i1	O42662	GO:0032259	8.15	5.23	0.00	27.76	methylation

c3457_g1_i1	Q9US41	GO:0046872	13.90	37.48	2.32	144.94	metal ion binding

c1393_g1_i1	NA	GO:0046872	223.38	991.51	512.12	107.86	metal ion binding

c5103_g1_i1	Q09864	GO:0061077	0.00	23.80	12.27	39.51	chaperone-mediated protein folding

c1593_g2_i1	NA	GO:0061077	0.00	126.80	0.00	0.00	chaperone-mediated protein folding

c998_g1_i1	P57728	GO:0030529	162.85	343.78	436.35	11.89	ribonucleoprotein complex

c5963_g1_i1	Q9URX9	GO:0042254	5.63	22.79	80.50	20.86	ribosome biogenesis

c2316_g2_i1	NA	GO:0042254	54.09	2.48	13.56	15.62	ribosome biogenesis

c6128_g1_i1	O74538	GO:0030529	505.64	1931.57	1847.00	102.13	ribonucleoprotein complex

c3837_g1_i1	Q10487	GO:1902047	9.97	27.61	0.00	18.75	polyamine transmembrane transport

c4469_g2_i1	NA	GO:1902047	15.02	80.03	7.53	116.50	polyamine transmembrane transport

c4327_g2_i1	O60100	GO:0031965	8.54	24.04	63.63	3.74	nuclear membrane

c2191_g1_i1	NA	GO:0031965	2.10	2.50	0.00	206.95	nuclear membrane

c6064_g1_i1	Q10212	GO:0008150	58.56	12.77	2.48	87.65	biological_process

c6147_g1_i1	NA	GO:0008150	4.31	6.07	1.44	55.82	biological_process

c3904_g1_i1	O94426	GO:0008150	532.21	619.21	88.42	59.22	biological_process

c4685_g1_i1	P36624	GO:0055114	203.12	57.36	14.07	123.58	oxidation-reduction process

c4381_g1_i1	O59759	GO:0030968	38.52	0.00	15.64	108.19	endoplasmic reticulum unfolded protein response

c4834_g1_i1	Q9P6M1	GO:0055114	590.63	268.07	44.95	354.10	oxidation-reduction process

c743_g1_i1	P25457	GO:0030529	325.25	1165.18	1580.30	172.65	ribonucleoprotein complex

c4365_g1_i2	O74401	GO:0015035	44.56	202.28	17.56	28.61	protein disulfide oxidoreductase activity

c1344_g1_i1	O14169	GO:0031966	245.72	149.60	29.08	516.98	mitochondrial membrane

c5499_g1_i1	NA	GO:0031966	134.61	17.65	13.72	331.51	mitochondrial membrane

c3970_g1_i2	Q9P7S1	GO:0051603	10.07	21.83	0.00	0.13	proteolysis involved in cellular protein catabolic process

c2718_g1_i1	Q9UT45	GO:1902409	2.77	11.27	117.10	3.15	mitotic cytokinetic cell separation

