	NA		Sp_ds	Sp_hs	Sp_log	Sp_plat	
c4848_g1_i1	Q9HDX6	GO:0000151	10.51	0.00	66.77	196.30	ubiquitin ligase complex
c4641_g1_i2	O13749	GO:0001132	91.68	112.74	26.71	242.62	TBP-class protein binding RNA polymerase II transcription factor activity
c5953_g1_i1	Q9Y7X7	GO:0000042	0.69	0.00	45.20	0.00	protein targeting to Golgi
c4535_g1_i1	O59826	GO:0003674	202.96	34.77	18.59	198.37	molecular_function
c4351_g1_i1	NA	GO:0003674	18.42	14.81	7.92	150.57	molecular_function
c2956_g1_i1	O13917	GO:0000166	34.44	113.61	204.04	23.10	nucleotide binding
c5922_g1_i1	O59852	GO:0000324	1984.15	18.95	13.24	1115.88	fungal-type vacuole
c648_g1_i1	Q9P779	GO:0000407	32.36	24.46	3.61	52.05	pre-autophagosomal structure
c5036_g1_i1	NA	GO:0000407	2245.52	710.44	239.09	6969.63	pre-autophagosomal structure
c760_g1_i1	Q9UUD6	GO:0004843	49.97	15.12	23.42	141.24	ubiquitin-specific protease activity
c4428_g1_i1	Q9P7D9	GO:0000122	22.37	23.87	3.83	87.99	negative regulation of transcription from RNA polymerase II promoter
c4712_g1_i2	NA	GO:0000122	3.81	3.56	1.19	58.51	negative regulation of transcription from RNA polymerase II promoter
c147_g1_i1	O60077	GO:0003674	85.26	104.46	10.42	163.48	molecular_function
c2389_g1_i2	Q96TL7	GO:0000723	0.00	48.22	7.23	0.00	telomere maintenance
c6086_g1_i1	O74992	GO:0000139	106.06	227.29	4.84	1075.51	Golgi membrane
c362_g1_i1	Q9P6Q5	GO:0004170	28.34	72.28	131.23	7.24	dUTP diphosphatase activity
c199_g1_i1	O74412	GO:0000978	19.10	4.41	6.86	65.85	RNA polymerase II core promoter proximal region sequence-specific DNA binding
c6403_g1_i1	Q8NKC1	GO:0000324	44.68	17.15	11.20	127.63	fungal-type vacuole
c4746_g1_i2	Q09740	GO:0004360	0.00	0.00	0.00	12.61	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
c2389_g1_i1	Q96TL7	GO:0000723	14.77	0.00	0.00	18.12	telomere maintenance
c1244_g1_i1	O13709	GO:0003674	60.78	40.10	12.27	125.69	molecular_function
c4259_g1_i1	O59746	GO:0000978	49.75	11.85	41.20	136.87	RNA polymerase II core promoter proximal region sequence-specific DNA binding
c822_g1_i1	Q01682	GO:0003993	15.82	32.99	82.86	6.59	acid phosphatase activity
c1375_g1_i1	O13938	GO:0000139	20.09	11.78	2.52	58.16	Golgi membrane
c4754_g2_i1	NA	GO:0000139	119.05	0.00	0.00	5.29	Golgi membrane
c4627_g1_i1	O94322	GO:0004733	1068.61	473.17	13.28	723.15	pyridoxamine-phosphate oxidase activity
c4839_g1_i1	O94641	GO:0000166	589.36	4900.68	69.15	294.21	nucleotide binding
c3892_g1_i2	O43066	GO:0000147	10.28	0.02	7.46	59.67	actin cortical patch assembly
c5021_g1_i1	NA	GO:0000147	5.16	74.06	0.00	12.65	actin cortical patch assembly
c5214_g1_i1	Q10232	GO:0002181	704.08	2250.47	1783.96	283.16	cytoplasmic translation
c4929_g1_i1	O74887	GO:0004601	2052.39	12732.46	1417.39	1760.01	peroxidase activity
c5122_g1_i1	O14400	GO:0004368	1060.50	111.38	22.18	59.78	glycerol-3-phosphate dehydrogenase activity
c4603_g1_i2	Q5UQ88	GO:0000166	90.90	510.34	780.58	65.62	nucleotide binding
c6166_g1_i1	NA	GO:0000166	813.05	287.41	12.72	5752.11	nucleotide binding
c4618_g2_i1	O14469	GO:0002181	176.37	418.99	703.48	26.43	cytoplasmic translation
c4858_g1_i1	O94632	GO:0005509	123.36	8.53	12.68	64.69	calcium ion binding
c6097_g1_i1	O74442	GO:0004843	0.00	18.35	25.69	44.36	ubiquitin-specific protease activity
c6016_g1_i1	NA	GO:0004843	1362.26	3992.17	3521.94	450.13	ubiquitin-specific protease activity
c4446_g1_i1	G2TRT0	GO:0005085	19.45	65.48	0.00	29.99	guanyl-nucleotide exchange factor activity
c4725_g2_i1	Q9P5N2	GO:0000139	11.66	49.71	88.76	1.67	Golgi membrane
c4228_g1_i2	Q9HDZ2	GO:0003674	8.83	0.00	0.00	14.45	molecular_function
c6218_g1_i1	P40373	GO:0000105	53.71	176.74	379.47	37.12	histidine biosynthetic process
c1546_g1_i2	Q9Y7N9	GO:0005634	4.00	0.00	0.00	25.67	nucleus
c2018_g1_i2	NA	GO:0005634	18.39	19.74	0.00	61.54	nucleus
c1348_g1_i2	O60119	GO:0005198	20.96	56.32	3.52	157.71	structural molecule activity
c1759_g1_i1	O94300	GO:0000139	17.05	29.72	159.65	14.11	Golgi membrane
c4743_g1_i2	NA	GO:0000139	181.31	158.03	0.00	24.00	Golgi membrane
c3677_g1_i1	O13692	GO:0005576	55.90	101.96	212.61	20.67	extracellular region
c4697_g1_i4	O94664	GO:0003674	15.72	19.48	0.50	0.00	molecular_function
c5830_g1_i1	O74402	GO:0000166	169.69	2077.10	67.61	94.50	nucleotide binding
c3934_g2_i1	P40376	GO:0000166	279.73	203.58	22.52	115.09	nucleotide binding
c5869_g1_i1	Q9P7G9	GO:0000103	59.88	319.01	292.74	10.88	sulfate assimilation
c5229_g1_i1	NA	GO:0000103	517.33	2381.85	24.39	330.96	sulfate assimilation
c5498_g1_i1	Q09819	GO:0005634	0.00	184.64	13.36	0.00	nucleus
c4926_g1_i1	Q9HFF2	GO:0000932	1.90	49.35	48.48	9.32	cytoplasmic mRNA processing body
c5428_g1_i1	NA	GO:0000932	8.03	0.00	0.00	55.37	cytoplasmic mRNA processing body
c2213_g1_i1	Q9Y7P3	GO:0004806	21.88	0.00	58.45	25.34	triglyceride lipase activity
c2093_g1_i1	O14137	GO:0004345	435.49	60.25	14.55	304.82	glucose-6-phosphate dehydrogenase activity
c1530_g1_i1	Q10107	GO:0003723	11.87	62.06	156.51	14.73	RNA binding
c5064_g1_i1	Q9URY9	GO:0005739	103.60	0.00	0.00	254.38	mitochondrion
c3249_g1_i1	O74876	GO:0003674	18.80	120.05	10.15	5.91	molecular_function
c6049_g1_i1	Q10494	GO:0005634	1358.85	5111.14	190.36	836.13	nucleus
c3557_g1_i1	Q9UU76	GO:0000900	27.12	78.66	171.50	19.94	translation repressor activity, nucleic acid binding
c1666_g1_i1	Q09923	GO:0005634	126.73	75.99	45.13	358.61	nucleus
c3957_g1_i1	P32747	GO:0003824	37.62	194.40	371.71	51.64	catalytic activity
c3065_g1_i1	O42890	GO:0005507	103.18	9.70	10.91	424.96	copper ion binding
c5215_g1_i1	O94392	GO:0000978	105.03	12.04	29.51	393.28	RNA polymerase II core promoter proximal region sequence-specific DNA binding
c974_g1_i1	NA	GO:0000978	24.18	70.33	2.43	117.77	RNA polymerase II core promoter proximal region sequence-specific DNA binding
c2739_g1_i1	O13867	GO:0000166	4.29	7.73	1.38	96.26	nucleotide binding
c5094_g1_i1	NA	GO:0000166	32.05	33.16	6.62	87.64	nucleotide binding
c1431_g1_i1	Q10488	GO:0004024	346.33	670.85	21.30	249.89	alcohol dehydrogenase activity, zinc-dependent
c3978_g1_i4	P24782	GO:0000166	0.00	0.00	201.67	20.00	nucleotide binding
c4705_g1_i1	O59794	GO:0002181	278.69	858.80	1438.71	85.03	cytoplasmic translation
c3086_g3_i1	NA	GO:0002181	43.47	13.91	23.78	185.77	cytoplasmic translation
c2785_g1_i1	Q9P371	GO:0004221	38.43	0.00	10.22	61.93	ubiquitin thiolesterase activity
c5079_g1_i1	Q9HDU2	GO:0000166	404.14	79.26	36.55	62.06	nucleotide binding
c2031_g1_i2	O13944	GO:0005737	0.00	18.90	0.00	0.00	cytoplasm
c6230_g1_i1	Q9USM2	GO:0003674	594.98	162.52	14.72	642.97	molecular_function
c3880_g1_i1	O14201	GO:0000329	506.15	5.83	17.38	309.02	fungal-type vacuole membrane
c4999_g1_i1	Q10242	GO:0000166	826.93	118.63	68.55	573.41	nucleotide binding
c1387_g1_i2	O43070	GO:0000723	14.67	10.61	0.00	31.85	telomere maintenance
c1213_g1_i1	O13693	GO:0003674	136.64	72.76	12.22	158.86	molecular_function
c1476_g1_i1	O94570	GO:0003824	16.72	6.49	12.15	90.75	catalytic activity
c3768_g2_i1	O42848	GO:0002181	1201.93	2859.50	3057.57	344.35	cytoplasmic translation
c6290_g1_i1	P87133	GO:0003674	284.65	442.05	15.47	348.17	molecular_function
c1172_g1_i1	O94681	GO:0004149	384.76	133.81	106.52	826.08	dihydrolipoyllysine-residue succinyltransferase activity
c4745_g8_i1	NA	GO:0004149	15.54	110.42	5.20	7.56	dihydrolipoyllysine-residue succinyltransferase activity
c4671_g1_i1	Q9C105	GO:0000324	5.22	18.25	73.44	0.00	fungal-type vacuole
c2617_g1_i1	Q9C0Q1	GO:0005783	63.18	360.00	258.57	29.70	endoplasmic reticulum
c6402_g1_i1	O13896	GO:0003676	11.63	30.40	116.67	8.49	nucleic acid binding
c4782_g1_i1	P78890	GO:0003674	7084.80	1881.79	28.52	2506.47	molecular_function
c3496_g2_i1	O42699	GO:0002181	456.08	1302.34	1251.75	100.40	cytoplasmic translation
c3267_g1_i1	NA	GO:0002181	47.61	8.38	1.99	281.76	cytoplasmic translation
c4650_g1_i2	O14150	GO:0002181	833.21	2169.42	2399.21	176.64	cytoplasmic translation
c3386_g1_i1	Q9P3W2	GO:0000324	4.31	91.05	4.33	7.35	fungal-type vacuole
c2061_g1_i1	O94340	GO:0005634	12.81	222.28	8.56	25.30	nucleus
c4433_g1_i1	P87293	GO:0003674	57.43	45.55	10.50	93.05	molecular_function
c5909_g1_i1	Q09686	GO:0003674	485.06	172.61	23.60	1359.74	molecular_function
c2031_g1_i1	O13944	GO:0005737	52.26	8.62	57.49	128.51	cytoplasm
c1686_g1_i1	O74867	GO:0000502	60.94	13.66	27.59	157.61	proteasome complex
c2528_g1_i1	Q9UU78	GO:0002182	343.51	1109.67	1246.38	127.21	cytoplasmic translational elongation
c5988_g1_i1	O36032	GO:0004364	1354.49	2192.25	229.02	1018.28	glutathione transferase activity
c729_g1_i1	Q09679	GO:0000139	22.29	5.02	0.00	63.78	Golgi membrane
c5349_g1_i1	P78946	GO:0002181	1539.59	6177.03	4900.92	458.94	cytoplasmic translation
c3847_g1_i1	NA	GO:0002181	7.19	128.87	5.73	2.90	cytoplasmic translation
c4428_g1_i2	Q9P7D9	GO:0000122	105.98	3.95	0.00	60.59	negative regulation of transcription from RNA polymerase II promoter
c3044_g1_i1	P55306	GO:0004096	1594.30	1213.81	26.20	602.80	catalase activity
c2300_g1_i1	Q09910	GO:0005783	63.95	30.41	90.58	369.11	endoplasmic reticulum
c988_g1_i1	Q9UQY9	GO:0000166	15.70	57.83	36.59	1.89	nucleotide binding
c5773_g1_i1	Q10281	GO:0005080	1622.27	4479.84	4113.06	539.82	protein kinase C binding
c4302_g1_i1	Q9Y6Z9	GO:0005739	20.58	26.41	387.37	4.95	mitochondrion
c4733_g1_i2	NA	GO:0005739	0.00	140.80	0.00	0.00	mitochondrion
c241_g1_i2	NA	GO:0005739	9.79	0.01	7.84	37.08	mitochondrion
c4743_g1_i1	NA	GO:0005739	680.35	1067.14	114.89	171.88	mitochondrion
c4935_g1_i1	O74312	GO:0000045	7.23	101.52	0.00	0.00	autophagic vacuole assembly
c4640_g1_i1	Q9P7H9	GO:0000324	61.42	14.21	34.18	131.98	fungal-type vacuole
c1324_g2_i1	O74383	GO:0003674	98.11	11.51	3.28	583.13	molecular_function
c4340_g3_i2	O14123	GO:0005886	39.43	105.35	8.79	22.21	plasma membrane
c4443_g2_i1	Q1MTS0	GO:0005634	11.91	35.82	122.23	26.01	nucleus
c2091_g1_i1	Q9Y815	GO:0000978	157.05	267.76	14.09	178.31	RNA polymerase II core promoter proximal region sequence-specific DNA binding
c951_g1_i1	Q9P775	GO:0003674	13.02	84.74	152.89	22.73	molecular_function
c4488_g1_i2	P36582	GO:0000166	34.12	243.83	22.93	24.71	nucleotide binding
c6073_g1_i1	O59827	GO:0004364	315.62	48.50	25.14	207.27	glutathione transferase activity
c6253_g1_i1	P40903	GO:0000324	670.42	221.22	56.72	612.59	fungal-type vacuole
c4225_g2_i1	Q9UT79	GO:0000118	0.00	33.81	0.00	22.50	histone deacetylase complex
c1117_g1_i1	Q09919	GO:0005381	8.07	11.36	519.13	5.30	iron ion transmembrane transporter activity
c5818_g1_i1	O60057	GO:0003674	451.53	252.40	15.40	407.44	molecular_function
c4744_g3_i1	Q9HFE8	GO:0000124	1.12	61.61	0.00	1.15	SAGA complex
c6310_g1_i1	O94592	GO:0016020	79.39	12.81	26.83	290.35	membrane
c2969_g1_i1	Q10361	GO:0005739	28.63	0.00	30.24	80.76	mitochondrion
c5847_g1_i1	Q9P7U2	GO:0005634	448.94	640.16	169.88	40.81	nucleus
c4565_g1_i1	O14345	GO:0000139	84.90	57.62	20.53	172.89	Golgi membrane
c6378_g1_i1	Q9UTI9	GO:0003674	807.31	34.61	15.82	1449.08	molecular_function
c3578_g1_i1	Q7LKX0	GO:0005634	148.52	52.57	96.60	501.69	nucleus
c2987_g1_i1	P53693	GO:0003674	5339.15	3244.36	227.27	3238.78	molecular_function
c361_g1_i1	Q9UTE6	GO:0003674	13.26	56.01	143.03	14.68	molecular_function
c1717_g1_i1	NA	GO:0003674	4.63	9.56	0.00	49.76	molecular_function
c4913_g1_i1	NA	GO:0003674	816.41	3451.39	1395.82	366.56	molecular_function
c3570_g1_i1	Q9UTE7	GO:0000166	20.34	0.00	15.16	3.76	nucleotide binding
c4686_g1_i1	O74899	GO:0005215	6.49	2.33	10.07	213.78	transporter activity
c4940_g1_i1	O14015	GO:0003674	586.89	18.27	7.15	1479.83	molecular_function
c6213_g1_i1	O74752	GO:0000226	101.49	1484.17	384.86	21.08	microtubule cytoskeleton organization
c6596_g1_i1	O14143	NA	75.53	31.66	0.00	625.60	microtubule cytoskeleton organization
c3606_g1_i3	O94611	GO:0003674	15.65	44.06	0.00	18.32	molecular_function
c1043_g1_i1	Q9P7F4	GO:0005739	244.58	326.16	14.91	125.65	mitochondrion
c5962_g1_i1	O14388	GO:0002181	1080.59	2998.67	3045.40	228.74	cytoplasmic translation
c4681_g1_i2	O13339	GO:0000228	17.42	0.00	11.55	16.31	nuclear chromosome
c1100_g1_i2	O94515	GO:0000166	0.00	0.00	0.00	35.87	nucleotide binding
c2937_g2_i1	NA	GO:0000166	7.42	26.84	5.31	122.35	nucleotide binding
c5816_g1_i1	O14368	GO:0005515	6533.07	16789.56	100.46	19091.05	protein binding
c3739_g2_i1	O94396	GO:0001522	3.58	17.61	72.63	8.22	pseudouridine synthesis
c4745_g1_i1	O59698	GO:0000296	7.25	1.46	63.39	20.11	spermine transport
c1216_g1_i1	O14081	GO:0003824	504.65	1014.83	105.51	195.16	catalytic activity
c4670_g1_i1	Q9URY5	GO:0005506	21.08	28.57	0.00	6.06	iron ion binding
c4865_g1_i1	O94298	GO:0000170	113.98	63.41	108.45	515.14	sphingosine hydroxylase activity
c3987_g1_i1	G2TRR9	GO:0003674	9.48	0.00	1.66	210.69	molecular_function
c6448_g1_i1	O14088	GO:0005634	297.36	1151.15	8.80	114.86	nucleus
c3112_g1_i3	O14059	GO:0000105	2.26	0.00	0.00	15.87	histidine biosynthetic process
c4384_g1_i1	P32586	GO:0004721	170.12	192.72	5.49	55.97	phosphoprotein phosphatase activity
c4474_g1_i1	Q9URW3	GO:0005575	67.70	15.09	4.71	237.69	cellular_component
c1718_g1_i1	Q10202	GO:0000027	8.62	34.88	252.35	19.82	ribosomal large subunit assembly
c2142_g1_i1	Q9USZ7	GO:0003779	0.00	16.35	5.17	27.79	actin binding
c4048_g1_i1	O13801	GO:0000166	18.61	26.82	133.78	15.40	nucleotide binding
c4716_g2_i3	Q10265	GO:0000166	1493.30	6656.33	22.73	525.74	nucleotide binding
c5275_g1_i1	P17610	GO:0000139	5.04	0.00	0.00	143.70	Golgi membrane
c3817_g1_i1	O74775	GO:0000329	121.84	138.16	35.03	409.98	fungal-type vacuole membrane
c4419_g1_i2	Q9UT29	GO:0005783	71.83	0.00	53.68	67.31	endoplasmic reticulum
c1182_g1_i1	Q09817	GO:0000027	9.64	51.58	107.70	19.05	ribosomal large subunit assembly
c4851_g1_i1	O13702	GO:0005739	2740.62	301.18	16.77	1178.36	mitochondrion
c923_g1_i1	Q09799	GO:0003674	6.89	48.52	93.63	12.46	molecular_function
c4753_g2_i1	O42885	GO:0005215	17.66	6.48	250.23	57.65	transporter activity
c3180_g1_i1	Q9URX4	GO:0003824	10.13	43.56	2.26	10.93	catalytic activity
c1131_g1_i1	Q10108	GO:0003674	144.69	162.91	44.37	370.06	molecular_function
c4752_g1_i2	O74306	GO:0002181	592.32	1584.65	1847.99	172.91	cytoplasmic translation
c409_g1_i1	O74876	GO:0003674	0.00	172.63	2.49	0.00	molecular_function
c4741_g1_i1	Q9P7T9	GO:0005215	27.23	0.00	12.87	13.85	transporter activity
c5501_g1_i1	O60103	GO:0005783	0.00	120.50	0.00	0.00	endoplasmic reticulum
c4395_g1_i1	O74333	GO:0000139	64.32	38.62	0.00	17.46	Golgi membrane
c4425_g1_i4	P79081	GO:0004145	87.63	232.67	101.82	18.53	diamine N-acetyltransferase activity
c824_g1_i1	Q9P380	GO:0000324	121.42	17.29	274.54	35.86	fungal-type vacuole
c2827_g1_i1	O42873	GO:0000287	220.63	11.07	5.10	579.46	magnesium ion binding
c4649_g1_i1	Q9HDY5	GO:0003674	23.62	551.53	19.99	26.39	molecular_function
c2721_g4_i1	P87229	GO:0003674	16.32	18.00	1.09	41.29	molecular_function
c3073_g1_i1	O74780	GO:0003674	44.50	1.23	12.25	79.36	molecular_function
c4392_g1_i1	Q09918	GO:0003674	13.28	3.11	3.33	73.50	molecular_function
c4477_g1_i2	Q9Y819	GO:0000139	0.00	0.00	0.00	15.28	Golgi membrane
c1844_g1_i1	Q8TGM7	GO:0003674	1172.28	4467.16	497.72	3369.76	molecular_function
c4741_g1_i2	Q9P7T9	GO:0005215	6.52	2.18	0.00	366.75	transporter activity
c5066_g1_i1	P36604	GO:0000166	350.67	1862.20	606.22	64.62	nucleotide binding
c1223_g1_i1	Q10092	GO:0005737	60.59	759.90	64.03	18.80	cytoplasm
c466_g1_i1	Q9P7G0	GO:0000054	11.30	24.52	122.79	17.80	ribosomal subunit export from nucleus
c4491_g1_i1	NA	GO:0000054	249.96	1037.83	654.60	56.87	ribosomal subunit export from nucleus
c6376_g1_i1	O14082	GO:0005634	470.80	194.48	20.78	0.00	nucleus
c4453_g1_i1	O59868	GO:0000166	0.03	41.36	5.00	22.21	nucleotide binding
c4515_g3_i2	O94421	GO:0000122	0.00	5.95	4.26	23.07	negative regulation of transcription from RNA polymerase II promoter
c3910_g4_i1	Q9P768	GO:0000139	158.39	7.64	25.17	379.50	Golgi membrane
c3928_g2_i1	O13791	GO:0003674	214.07	1685.05	82.76	154.48	molecular_function
c4605_g1_i1	NA	GO:0003674	1459.10	6902.64	404.54	4290.48	molecular_function
c3054_g1_i1	Q92341	GO:0005737	0.00	3.52	82.79	2.56	cytoplasm
c447_g1_i1	Q09816	GO:0003824	42.47	151.26	236.46	22.14	catalytic activity
c2355_g1_i1	Q9URU9	GO:0003674	44.16	29.83	7.97	91.15	molecular_function
c3757_g1_i1	O14091	GO:0000017	125.12	271.18	24.34	66.53	alpha-glucoside transport
c3768_g1_i1	O42991	GO:0002181	360.47	928.51	995.32	115.37	cytoplasmic translation
c1235_g1_i1	O13844	GO:0005371	6.56	73.88	125.05	15.64	tricarboxylate secondary active transmembrane transporter activity
c8_g1_i1	C6Y4D4	GO:0003674	61.02	12.27	23.32	996.96	molecular_function
c4760_g1_i1	O59824	GO:0000166	43.11	8.26	0.00	11.02	nucleotide binding
c1157_g1_i1	O42634	GO:0000150	40.70	199.01	22.14	14.10	recombinase activity
c870_g1_i1	Q9C1X5	GO:0005634	195.91	78.41	23.33	191.43	nucleus
c2544_g1_i1	O14014	GO:0000935	57.57	5.94	6.16	77.26	barrier septum
c6270_g1_i1	Q9USX0	GO:0005783	0.00	0.00	0.00	48.36	endoplasmic reticulum
c1214_g1_i1	O14017	GO:0003674	10.57	13.27	23.91	0.00	molecular_function
c5093_g1_i1	Q9P6J3	GO:0000023	92.91	13.06	9.43	82.06	maltose metabolic process
c3920_g1_i1	O42973	GO:0003674	51.84	139.70	8.88	112.41	molecular_function
c6237_g1_i1	O14463	GO:0003756	987.51	5190.95	806.88	250.29	protein disulfide isomerase activity
c4807_g1_i1	O74770	GO:0003824	500.48	328.06	14.52	39.79	catalytic activity
c4412_g1_i1	P41390	GO:0004044	14.03	9.94	0.00	37.59	amidophosphoribosyltransferase activity
c6209_g1_i1	Q9URZ0	GO:0003824	33.35	4.17	0.74	68.17	catalytic activity
c267_g1_i1	Q9UTK0	GO:0003723	7.71	46.65	95.87	14.18	RNA binding
c4430_g2_i1	Q92354	GO:0002181	395.39	941.17	1593.85	40.78	cytoplasmic translation
c4676_g2_i2	O74521	GO:0005737	45.32	36.92	5.09	137.62	cytoplasm
c6222_g1_i1	O13741	GO:0000166	9.32	106.78	116.82	11.56	nucleotide binding
c6061_g1_i1	O42914	GO:0005737	1059.64	1567.39	2337.59	192.46	cytoplasm
c3149_g1_i1	Q92383	GO:0000725	18.41	30.49	3.26	57.56	recombinational repair
c4502_g1_i2	O14112	GO:0000054	412.56	1232.47	1761.92	168.36	ribosomal subunit export from nucleus
c1965_g1_i1	P87115	GO:0000166	11.49	46.21	109.92	9.65	nucleotide binding
c1859_g1_i1	Q96WU9	GO:0003674	489.05	128.59	5.00	838.69	molecular_function
c2253_g1_i1	Q9UUI7	GO:0003824	546.50	456.85	14.98	126.57	catalytic activity
c5059_g1_i1	NA	GO:0003824	430.65	1062.94	38.68	591.12	catalytic activity
c3421_g1_i1	Q7Z995	GO:0003674	33.78	14.07	0.00	71.48	molecular_function
c948_g1_i1	O14034	GO:0005634	46.92	24.01	10.69	658.08	nucleus
c2153_g1_i1	O43012	GO:0003824	0.00	18.87	22.68	0.00	catalytic activity
c6134_g1_i1	Q9HDX3	GO:0005575	168.07	3.38	2.41	2637.38	cellular_component
c4730_g1_i3	Q9P4W9	GO:0002181	481.31	862.76	1497.02	130.68	cytoplasmic translation
c4501_g1_i1	O60144	GO:0002181	814.52	2415.67	2300.68	250.33	cytoplasmic translation
c5242_g1_i1	Q10211	GO:0003824	291.43	117.69	2.88	274.33	catalytic activity
c4586_g1_i1	O94338	GO:0005634	144.94	34.59	18.11	270.59	nucleus
c5219_g1_i1	Q9UTM8	GO:0005737	1393.40	44.17	8.04	130.41	cytoplasm
c2442_g1_i2	O94695	GO:0005783	0.03	43.16	0.00	0.00	endoplasmic reticulum
c5072_g1_i1	O74766	GO:0003842	101.86	472.24	833.38	56.12	1-pyrroline-5-carboxylate dehydrogenase activity
c2245_g1_i1	Q10342	GO:0000055	6.85	21.56	57.83	4.53	ribosomal large subunit export from nucleus
c3172_g2_i1	Q9UT56	GO:0002181	227.31	1054.67	1278.23	38.96	cytoplasmic translation
c5195_g1_i1	Q09676	GO:0003824	31.08	56.87	630.78	131.27	catalytic activity
c5878_g1_i1	NA	GO:0003824	589.04	23.19	2.07	917.58	catalytic activity
c6537_g1_i1	O74382	GO:0000287	2.18	0.00	7.84	50.53	magnesium ion binding
c6208_g1_i1	Q09741	GO:0003824	194.41	683.76	773.81	54.45	catalytic activity
c4225_g2_i2	Q9UT79	GO:0000118	24.92	0.00	16.32	0.00	histone deacetylase complex
c4702_g1_i3	O14277	GO:0002181	460.83	1064.27	1722.05	230.43	cytoplasmic translation
c6496_g1_i1	Q8WZK4	GO:0003674	8.32	103.13	0.19	3.67	molecular_function
c4518_g1_i1	O42662	GO:0005634	8.15	5.23	0.00	27.76	nucleus
c3457_g1_i1	Q9US41	GO:0000166	13.90	37.48	2.32	144.94	nucleotide binding
c1393_g1_i1	NA	GO:0000166	223.38	991.51	512.12	107.86	nucleotide binding
c5103_g1_i1	Q09864	GO:0000166	0.00	23.80	12.27	39.51	nucleotide binding
c1593_g2_i1	NA	GO:0000166	0.00	126.80	0.00	0.00	nucleotide binding
c998_g1_i1	P57728	GO:0002181	162.85	343.78	436.35	11.89	cytoplasmic translation
c5963_g1_i1	Q9URX9	GO:0003676	5.63	22.79	80.50	20.86	nucleic acid binding
c2316_g2_i1	NA	GO:0003676	54.09	2.48	13.56	15.62	nucleic acid binding
c6128_g1_i1	O74538	GO:0002181	505.64	1931.57	1847.00	102.13	cytoplasmic translation
c3837_g1_i1	Q10487	GO:0000296	9.97	27.61	0.00	18.75	spermine transport
c4469_g2_i1	NA	GO:0000296	15.02	80.03	7.53	116.50	spermine transport
c4327_g2_i1	O60100	GO:0005634	8.54	24.04	63.63	3.74	nucleus
c2191_g1_i1	NA	GO:0005634	2.10	2.50	0.00	206.95	nucleus
c6064_g1_i1	Q10212	GO:0003674	58.56	12.77	2.48	87.65	molecular_function
c6147_g1_i1	NA	GO:0003674	4.31	6.07	1.44	55.82	molecular_function
c3904_g1_i1	O94426	GO:0003674	532.21	619.21	88.42	59.22	molecular_function
c4685_g1_i1	P36624	GO:0003939	203.12	57.36	14.07	123.58	L-iditol 2-dehydrogenase activity
c4381_g1_i1	O59759	GO:0004721	38.52	0.00	15.64	108.19	phosphoprotein phosphatase activity
c4834_g1_i1	Q9P6M1	GO:0004364	590.63	268.07	44.95	354.10	glutathione transferase activity
c743_g1_i1	P25457	GO:0002181	325.25	1165.18	1580.30	172.65	cytoplasmic translation
c4365_g1_i2	O74401	GO:0003756	44.56	202.28	17.56	28.61	protein disulfide isomerase activity
c1344_g1_i1	O14169	GO:0005739	245.72	149.60	29.08	516.98	mitochondrion
c5499_g1_i1	NA	GO:0005739	134.61	17.65	13.72	331.51	mitochondrion
c3970_g1_i2	Q9P7S1	GO:0003824	10.07	21.83	0.00	0.13	catalytic activity
c2718_g1_i1	Q9UT45	GO:0007049	2.77	11.27	117.10	3.15	cell cycle
c2529_g1_i1	O94723	GO:0000002	655.44	141.99	34.17	1157.41	mitochondrial genome maintenance
c712_g1_i1	NA	GO:0000002	169.92	1267.58	385.45	86.12	mitochondrial genome maintenance
c2953_g1_i2	P79057	GO:0002181	442.51	1666.69	1709.06	123.91	cytoplasmic translation
c1948_g1_i2	P87143	GO:0000166	16.22	17.10	0.00	25.22	nucleotide binding
c4517_g1_i1	Q9UTL8	GO:0005634	0.00	0.00	12.05	0.00	nucleus
c1381_g1_i1	NA	GO:0005634	153.69	355.05	490.04	56.30	nucleus
c2826_g1_i2	NA	GO:0005634	3.02	89.71	2.60	0.00	nucleus
c6126_g1_i1	Q11004	GO:0000413	365.36	2400.00	474.43	26.93	protein peptidyl-prolyl isomerization
c3987_g1_i2	G2TRR9	GO:0003674	57.96	25.97	0.00	324.59	molecular_function
c3660_g2_i1	Q92365	GO:0002181	582.40	2148.51	2358.76	281.78	cytoplasmic translation
c6130_g1_i1	O43090	GO:0005739	695.83	182.61	80.38	1575.00	mitochondrion
c5918_g1_i1	Q9C0Y7	GO:0003674	411.87	3095.41	213.39	1531.79	molecular_function
c4596_g1_i3	O94590	GO:0000149	0.00	0.00	0.00	26.01	SNARE binding
c5973_g1_i1	Q9USG6	GO:0002181	670.13	2760.32	2447.34	175.58	cytoplasmic translation
c6083_g1_i1	Q9HDX2	GO:0003824	75.56	1.82	11.24	174.22	catalytic activity
c6161_g1_i1	Q9P7C0	GO:0005634	11.15	56.49	117.43	17.09	nucleus
c1879_g1_i1	Q9US43	GO:0000166	21.47	46.05	5.13	79.41	nucleotide binding
c5925_g1_i1	O43030	GO:0000774	189.06	4286.38	195.05	57.96	adenyl-nucleotide exchange factor activity
c2195_g1_i1	Q9P7G6	GO:0000790	40.65	38.37	135.73	10.64	nuclear chromatin
